YEAR,DATES,POLLSTER,GRADE,SAMPLE,,WEIGHT,APPROVE,DISAPPROVE,ADJUSTED_APPROVE,ADJUSTED_DISAPPROVE
2022,APR. 4-5,Ipsos,B-,1001,A,0.86,45%,50%,44%,51%
2022,APR. 3-5,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,1.43,42%,56%,44%,50%
2022,APR. 2-5,YouGov,B+,1500,A,1.1,41%,50%,42%,51%
2022,APR. 1-4,Morning Consult,B,2003,RV,0.15,42%,55%,41%,58%
2022,MAR. 31-APR. 4,YouGov,B+,1618,A,1.12,39%,53%,40%,54%
2022,MAR. 30-31,Morning Consult,B,2210,A,0.1,40%,54%,39%,57%
2022,MAR. 29-31,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.68,40%,58%,42%,52%
2022,MAR. 25-31,Climate Nexus,,1965,RV,1.02,44%,53%,43%,54%
2022,MAR. 28-29,Ipsos,B-,1005,A,0.73,42%,52%,41%,53%
2022,MAR. 26-29,YouGov,B+,1500,A,0.98,42%,48%,43%,49%
2022,MAR. 23-29,Morning Consult,B,45000,A,1.99,42%,50%,41%,53%
2022,MAR. 22-29,Marist College,A,1170,A,1.99,39%,54%,40%,54%
2022,MAR. 24-28,Quinnipiac University,A-,1462,A,1.72,36%,55%,39%,55%
2022,MAR. 24-28,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.73,43%,56%,45%,50%
2022,MAR. 25-27,Morning Consult,B,2006,RV,0.05,42%,54%,41%,57%
2022,MAR. 25-27,Research Co.,B-,1000,A,1.17,42%,52%,42%,52%
,03/25/2022,co/efficient,B/C,963,LV,1.38,37%,56%,38%,55%
2022,MAR. 23-24,Momentive/SurveyMonkey,C,3953,A,0.94,45%,52%,44%,52%
2022,MAR. 23-24,Harris Poll,B+,1990,RV,2.07,39%,55%,38%,56%
2022,MAR. 14-24,Marquette University Law School,A/B,1004,A,1.92,44%,55%,42%,55%
2022,MAR. 21-23,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.8,41%,58%,43%,52%
2022,MAR. 21-22,NewsNation,,1086,RV,0.84,44%,56%,43%,54%
2022,MAR. 21-22,Ipsos,B-,1005,A,0.69,40%,54%,39%,56%
2022,MAR. 19-22,YouGov,B+,1500,A,0.95,43%,48%,44%,49%
