YEAR,DATES,POLLSTER,GRADE,SAMPLE,Unnamed: 5,WEIGHT,APPROVE,DISAPPROVE,ADJUSTED_APPROVE,ADJUSTED_DISAPPROVE,datestring,bothdates,start,end
2022,APR. 4-5,Ipsos,B-,1001,A,0.86,45%,50%,44%,51%,APR. 4-5 2022,"(datetime.date(2022, 4, 4), datetime.date(2022, 4, 5))",2022-04-04,2022-04-05
2022,APR. 3-5,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,1.43,42%,56%,44%,50%,APR. 3-5 2022,"(datetime.date(2022, 4, 3), datetime.date(2022, 4, 5))",2022-04-03,2022-04-05
2022,APR. 2-5,YouGov,B+,1500,A,1.1,41%,50%,42%,51%,APR. 2-5 2022,"(datetime.date(2022, 4, 2), datetime.date(2022, 4, 5))",2022-04-02,2022-04-05
2022,APR. 1-4,Morning Consult,B,2003,RV,0.15,42%,55%,41%,58%,APR. 1-4 2022,"(datetime.date(2022, 4, 1), datetime.date(2022, 4, 4))",2022-04-01,2022-04-04
2022,MAR. 31-APR. 4,YouGov,B+,1618,A,1.12,39%,53%,40%,54%,MAR. 31-APR. 4 2022,"(datetime.date(2022, 3, 31), datetime.date(2022, 4, 4))",2022-03-31,2022-04-04
2022,MAR. 30-31,Morning Consult,B,2210,A,0.1,40%,54%,39%,57%,MAR. 30-31 2022,"(datetime.date(2022, 3, 30), datetime.date(2022, 3, 31))",2022-03-30,2022-03-31
2022,MAR. 29-31,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.68,40%,58%,42%,52%,MAR. 29-31 2022,"(datetime.date(2022, 3, 29), datetime.date(2022, 3, 31))",2022-03-29,2022-03-31
2022,MAR. 25-31,Climate Nexus,,1965,RV,1.02,44%,53%,43%,54%,MAR. 25-31 2022,"(datetime.date(2022, 3, 25), datetime.date(2022, 3, 31))",2022-03-25,2022-03-31
2022,MAR. 28-29,Ipsos,B-,1005,A,0.73,42%,52%,41%,53%,MAR. 28-29 2022,"(datetime.date(2022, 3, 28), datetime.date(2022, 3, 29))",2022-03-28,2022-03-29
2022,MAR. 26-29,YouGov,B+,1500,A,0.98,42%,48%,43%,49%,MAR. 26-29 2022,"(datetime.date(2022, 3, 26), datetime.date(2022, 3, 29))",2022-03-26,2022-03-29
2022,MAR. 23-29,Morning Consult,B,45000,A,1.99,42%,50%,41%,53%,MAR. 23-29 2022,"(datetime.date(2022, 3, 23), datetime.date(2022, 3, 29))",2022-03-23,2022-03-29
2022,MAR. 22-29,Marist College,A,1170,A,1.99,39%,54%,40%,54%,MAR. 22-29 2022,"(datetime.date(2022, 3, 22), datetime.date(2022, 3, 29))",2022-03-22,2022-03-29
2022,MAR. 24-28,Quinnipiac University,A-,1462,A,1.72,36%,55%,39%,55%,MAR. 24-28 2022,"(datetime.date(2022, 3, 24), datetime.date(2022, 3, 28))",2022-03-24,2022-03-28
2022,MAR. 24-28,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.73,43%,56%,45%,50%,MAR. 24-28 2022,"(datetime.date(2022, 3, 24), datetime.date(2022, 3, 28))",2022-03-24,2022-03-28
2022,MAR. 25-27,Morning Consult,B,2006,RV,0.05,42%,54%,41%,57%,MAR. 25-27 2022,"(datetime.date(2022, 3, 25), datetime.date(2022, 3, 27))",2022-03-25,2022-03-27
2022,MAR. 25-27,Research Co.,B-,1000,A,1.17,42%,52%,42%,52%,MAR. 25-27 2022,"(datetime.date(2022, 3, 25), datetime.date(2022, 3, 27))",2022-03-25,2022-03-27
,03/25/2022,co/efficient,B/C,963,LV,1.38,37%,56%,38%,55%,,"('', '')",,
2022,MAR. 23-24,Momentive/SurveyMonkey,C,3953,A,0.94,45%,52%,44%,52%,MAR. 23-24 2022,"(datetime.date(2022, 3, 23), datetime.date(2022, 3, 24))",2022-03-23,2022-03-24
2022,MAR. 23-24,Harris Poll,B+,1990,RV,2.07,39%,55%,38%,56%,MAR. 23-24 2022,"(datetime.date(2022, 3, 23), datetime.date(2022, 3, 24))",2022-03-23,2022-03-24
